ANO,MES,DIA,TMAX,TMIN,LUGAR
2020,1,2,34.5,13.7,MERCEDES AEROPUERTO (CTES)
2020,1,2,,11.5,MERLO AEROPUERTO
2020,1,2,23.8,16.8,METAN
2020,1,2,,18,MONTE CASEROS AEROPUERTO
2020,1,2,32.8,16.1,MORON AEROPUERTO
2020,1,2,34.7,16.2,NEUQUEN AEROPUERTO
2020,1,2,25.9,11.3,NUEVE DE JULIO
2020,1,2,29.5,19.7,OBERA
2020,1,2,27.5,9.8,OLAVARRIA AEROPUERTO
2020,1,2,27,21.5,ORAN AEROPUERTO
2020,1,2,,21.3,PARANA AEROPUERTO
2020,1,2,24.8,,PASO DE INDIOS
2020,1,2,37.5,19.4,PASO DE LOS LIBRES AEROPUERTO
2020,1,2,24.9,9.5,PEHUAJO AEROPUERTO
2020,1,2,23.1,11.1,PERITO MORENO AEROPUERTO
2020,1,2,23.4,9.1,PIGUE AEROPUERTO
2020,1,2,31.2,16.2,PILAR OBSERVATORIO
2020,1,2,36.3,19.8,POSADAS AEROPUERTO
2020,1,2,31.1,16.3,PRESIDENCIA ROQUE SAENZ PE A AEROPUERTO
2020,1,2,20.5,10,PUERTO DESEADO AEROPUERTO
2020,1,2,24.6,7.8,PUERTO MADRYN AEROPUERTO
2020,1,2,24.9,17.1,PUNTA INDIO B.A.
2020,1,2,31.8,19.7,RAFAELA AEROPUERTO
2020,1,2,36.5,17.5,RECONQUISTA AEROPUERTO
2020,1,2,37.7,16.4,RESISTENCIA AEROPUERTO
2020,1,2,,13.5,RIO CUARTO AEROPUERTO
2020,1,2,20,9.8,RIO GALLEGOS AEROPUERTO
2020,1,2,16,9.7,RIO GRANDE B.A.
2020,1,2,31.6,22.7,RIVADAVIA
2020,1,2,36,13.5,ROSARIO AEROPUERTO
2020,1,2,27,14.8,SALTA AEROPUERTO
2020,1,2,,8.5,SAN ANTONIO OESTE AEROPUERTO
2020,1,2,28.2,18.9,SAN FERNANDO AEROPUERTO
2020,1,2,33.1,22.1,SAN JUAN AEROPUERTO
2020,1,2,20.3,9.6,SAN JULIAN AEROPUERTO
2020,1,2,31.4,21.2,SAN LUIS AEROPUERTO
2020,1,2,30.2,16.6,SAN MARTIN (MZA)
2020,1,2,32.6,16.7,SAN RAFAEL AEROPUERTO
2020,1,2,15.9,9.9,SANTA CRUZ AEROPUERTO
2020,1,2,30.1,12.5,SANTA ROSA AEROPUERTO
2020,1,2,,15.7,SANTA ROSA DE CONLARA AEROPUERTO
2020,1,2,38.3,17.3,SANTIAGO DEL ESTERO AEROPUERTO
2020,1,2,36.3,18.8,SAUCE VIEJO AEROPUERTO
2020,1,2,33.1,16,SUNCHALES AEROPUERTO
2020,1,2,20.6,7.7,TANDIL AEROPUERTO
2020,1,2,,18.5,TARTAGAL AEROPUERTO
2020,1,2,33.9,18.9,TERMAS DE RIO HONDO AEROPUERTO
2020,1,2,30.6,18.8,TINOGASTA
2020,1,2,22.7,9.7,TRELEW AEROPUERTO
2020,1,2,28.7,16.1,TRENQUE LAUQUEN
2020,1,2,21.7,14.1,TRES ARROYOS
2020,1,2,30,20.6,TUCUMAN AEROPUERTO
2020,1,2,,3.7,USHUAIA AEROPUERTO
2020,1,2,24,12,USPALLATA
2020,1,2,31.5,10.9,VENADO TUERTO AEROPUERTO
2020,1,2,31.7,5.8,VICTORICA
2020,1,2,,10.1,VIEDMA AEROPUERTO
2020,1,2,29.2,16.9,VILLA DE MARIA DEL RIO SECO
2020,1,2,29.2,18.9,VILLA DOLORES AEROPUERTO
2020,1,2,17.7,15.2,VILLA GESELL AEROPUERTO
2020,1,2,28.4,16.5,VILLA REYNOLDS AEROPUERTO
2020,1,3,23.6,15.5,AEROPARQUE CABA
2020,1,3,23.3,6.2,AZUL AEROPUERTO
2020,1,3,24.9,,BAHIA BLANCA AEROPUERTO
2020,1,3,27.9,8,BARILOCHE AEROPUERTO
2020,1,3,3.4,-11.6,BASE BELGRANO II
2020,1,3,2.5,-0.7,BASE CARLINI (EX JUBANY)
2020,1,3,8.6,-1.5,BASE ESPERANZA
2020,1,3,5.6,-1.4,BASE MARAMBIO
2020,1,3,6.6,0.2,BASE ORCADAS
2020,1,3,3.7,-2.4,BASE SAN MARTIN
2020,1,3,21.1,11.1,BENITO JUAREZ
2020,1,3,30.9,17.5,BERNARDO DE IRIGOYEN AEROPUERTO
2020,1,3,26.8,9.9,BOLIVAR AEROPUERTO
2020,1,3,28.4,13.4,BUENOS AIRES OBSERVATORIO
2020,1,3,27.2,9.3,CAMPO DE MAYO AEROPUERTO
2020,1,3,26.6,19.1,CATAMARCA AEROPUERTO
2020,1,3,,20.5,CERES AEROPUERTO
2020,1,3,,18.4,CHAMICAL AEROPUERTO
2020,1,3,32.9,5.2,CHAPELCO AEROPUERTO
2020,1,3,32.8,20.2,CHEPES
2020,1,3,23.3,11.4,COMODORO RIVADAVIA AEROPUERTO
2020,1,3,31.5,15.5,CONCORDIA AEROPUERTO
2020,1,3,26.5,13.1,CORDOBA AEROPUERTO
2020,1,3,29.5,19.2,CORDOBA OBSERVATORIO
2020,1,3,25.8,7.3,CORONEL SUAREZ AEROPUERTO
2020,1,3,32.3,21.9,CORRIENTES AEROPUERTO
2020,1,3,,10.6,DOLORES AEROPUERTO
2020,1,3,32.6,8.6,EL BOLSON AEROPUERTO
2020,1,3,21.6,,EL CALAFATE AEROPUERTO
2020,1,3,24.4,8.8,EL PALOMAR AEROPUERTO
2020,1,3,,16.9,ESCUELA DE AVIACION MILITAR AEROPUERTO
2020,1,3,27.8,8.9,ESQUEL AEROPUERTO
2020,1,3,25.2,11.8,EZEIZA AEROPUERTO
2020,1,3,36.1,23.8,FORMOSA AEROPUERTO
2020,1,3,31.8,9.7,GENERAL PICO AEROPUERTO
2020,1,3,25.8,10.2,GOBERNADOR GREGORES AEROPUERTO
2020,1,3,28.9,13,GUALEGUAYCHU AEROPUERTO
2020,1,3,32.4,19.7,IGUAZU AEROPUERTO
2020,1,3,35.3,21.3,ITUZAINGO
2020,1,3,33.5,16.6,JACHAL
2020,1,3,28.9,20.9,JUJUY AEROPUERTO
2020,1,3,22.5,19.8,JUJUY U N
2020,1,3,30.9,9.8,JUNIN AEROPUERTO
2020,1,3,24.5,11.9,LA PLATA AEROPUERTO
2020,1,3,22.3,4.9,LA QUIACA OBSERVATORIO
2020,1,3,31.7,15.7,LA RIOJA AEROPUERTO
2020,1,3,28.7,12.9,LABOULAYE AEROPUERTO
2020,1,3,26.8,6,LAS FLORES
2020,1,3,26.8,24.3,LAS LOMITAS
2020,1,3,33.8,12.2,MALARGUE AEROPUERTO
2020,1,3,32.1,10.5,MAQUINCHAO
2020,1,3,20.9,16.1,MAR DEL PLATA AEROPUERTO
2020,1,3,29.2,12.1,MARCOS JUAREZ AEROPUERTO
2020,1,3,,11.1,MARIANO MORENO AEROPUERTO
2020,1,3,,16.7,MENDOZA AEROPUERTO
2020,1,3,,18.1,MENDOZA OBSERVATORIO
2020,1,3,30.1,13.7,MERCEDES AEROPUERTO (CTES)
2020,1,3,,12.8,MERLO AEROPUERTO
2020,1,3,22.5,20.8,METAN
2020,1,3,,12,MONTE CASEROS AEROPUERTO
2020,1,3,27.4,13.1,MORON AEROPUERTO
2020,1,3,33,18.8,NEUQUEN AEROPUERTO
2020,1,3,26,12.2,NUEVE DE JULIO
2020,1,3,30.5,21.4,OBERA
2020,1,3,24.9,7.9,OLAVARRIA AEROPUERTO
